N,Result
0,25.583405358686257
1,20.786516853932586
2,20.570440795159897
3,25.35292422932872
4,22.88965715932008
5,22.35666954768078
6,26.923076923076923
7,21.276289253817342
8,22.18380870066263
9,14.21780466724287
10,20.62806107749928
11,20.066263324690294
12,20.757706712762893
13,26.246038605589167
14,27.484874675885912
15,28.53644482857966
16,27.11034284067992
17,26.562950158455777
18,29.271103428406796
19,23.768366464995676
20,21.21866897147796
21,32.180927686545665
22,26.159608182080092
23,26.980697205416305
24,27.398444252376837
25,22.44309997118986
26,21.247479112647653
27,26.649380581964856
28,26.735811005473924
29,25.26649380581965
30,26.289253817343706
31,25.208873523480264
32,29.458369346009793
33,22.57274560645347
34,24.719101123595504
35,24.373379429559204
36,24.15730337078652
37,23.912417170844137
38,21.722846441947567
39,25.35292422932872
40,24.315759147219822
41,24.258138864880436
42,29.256698357821953
43,24.632670700086432
44,25.194468452895418
45,24.5606453471622
46,24.056467876692597
47,15.038893690579084
48,23.912417170844137
49,25.381734370498414
50,24.33016421780467
51,29.44396427542495
52,19.562085854220683
53,22.601555747623163
54,22.50072025352924
55,26.836646499567845
56,15.22615960818208
57,30.40910400460962
58,24.15730337078652
59,26.894266781907234
60,26.692595793719388
61,23.840391817919908
62,20.930567559781043
63,19.67732641889945
64,28.219533275713047
65,26.44770959377701
66,23.595505617977526
67,30.35148372227024
68,24.531835205992508
69,21.53558052434457
70,22.342264477095938
71,23.595505617977526
72,19.475655430711612
73,26.26044367617401
74,25.381734370498414
75,28.277153558052436
76,21.11783347738404
77,25.569000288101414
78,29.515989628349175
79,23.40823970037453
80,26.044367617401328
81,23.120138288677612
82,15.643906655142612
83,24.15730337078652
84,32.45462402765774
85,25.741861135119564
86,24.94958225295304
87,18.53932584269663
88,14.837222702391243
89,22.212618841832324
90,29.76087582829156
91,24.94958225295304
92,20.714491501008357
93,26.130798040910403
94,19.778161912993376
95,25.66983578219533
96,20.267934312878133
97,24.517430135407665
98,23.8692019590896
99,29.588014981273407
100,15.05329876116393
101,14.909248055315471
102,25.036012676462114
103,24.186113511956208
104,19.806972054163065
105,18.92826274848747
106,23.768366464995676
107,26.289253817343706
108,20.916162489196196
109,21.2618841832325
110,25.33851915874388
111,18.84183232497839
112,24.344569288389515
113,19.907807548256987
114,21.549985594929417
115,21.56439066551426
116,32.541054451166815
117,27.196773264188995
118,22.803226735811005
119,24.9063670411985
