N,Result
0,10.236011667992576
1,15.52638557411827
2,16.746221161495626
3,11.495624502784407
4,10.647043224608858
5,10.5674887297799
6,15.884380800848582
7,10.832670379209759
8,6.417395916202599
9,6.457173163617077
10,11.813842482100238
11,8.750994431185362
12,7.570936091222487
13,15.910898965791567
14,10.912224874038715
15,16.33518960487934
16,14.704322460885708
17,11.37629276054097
18,7.345531689207106
19,15.194908512330946
20,21.983558737735347
21,9.838239193847786
22,10.554229647308407
23,14.293290904269423
24,10.116679925749137
25,15.420312914346326
26,7.305754441792628
27,6.8682047202333605
28,15.645717316361708
29,12.35746486343145
30,11.535401750198886
31,10.474675152479449
32,16.693184831609653
33,10.779634049323787
34,11.164147440997082
35,10.991779368867673
36,13.617077698223282
37,-3.0893662158578623
38,11.190665605940069
39,-3.062848050914877
40,11.283479183240521
41,12.118801378944577
42,18.92071068682047
43,10.421638822593476
44,18.894192521877486
45,11.349774595597985
46,11.800583399628746
47,14.094404667197031
48,10.832670379209759
49,14.75735879077168
50,10.620525059665871
51,9.970830018562715
