N,Result
0,12.82051282051282
1,17.94871794871795
2,-35.8974358974359
3,12.82051282051282
4,12.82051282051282
5,-25.64102564102564
6,-25.64102564102564
7,66.66666666666666
8,66.66666666666666
9,17.94871794871795
10,17.94871794871795
11,12.82051282051282
12,17.94871794871795
13,-35.8974358974359
14,-25.64102564102564
15,-25.64102564102564
16,66.66666666666666
